Papel Interfolhado 20x20 Branco 2 Dobras - c/ 1.000un,07/08/2025,Marmikok,"5,000","R$ 14,80"
Detergente Neutro - 5 Litros,18/02/2023,marmikok,"1,000","R$ 16,50"
Morango Bandeja - c/ 250gr,22/02/2023,Jullye Frutas,"6,000","R$ 3,99"
Banana,22/02/2023,Jullye Frutas,"1,285","R$ 5,98"
Banana,28/02/2023,condor,"1,125","R$ 6,49"
Morango Bandeja - c/ 250gr,03/03/2023,JUllye Frutas,"6,000","R$ 4,99"
Leite UHT Integral - 1kg,03/03/2023,WHS ,"31,000","R$ 3,89"
Doce de Leite - 350gr,08/03/2023,Condor,"4,000","R$ 7,99"
Colher Forte - c/ 50un (STRAWPLAST),09/03/2023,Lacto Minas,"3,000","R$ 8,99"
Nutella Pote - 650gr,10/05/2023,casa do confeiteiro,"2,000","R$ 40,95"
Banana,10/06/2023,Condor,"0,870","R$ 4,39"
Caixa Kraft p/ Porção Grande - c/ 25un,12/07/2023,comercial barbante,"4,000","R$ 13,75"
Pázinha Curta Branca - c/ 500un,12/07/2023,Marmikok,"6,000","R$ 18,50"
Papel Interfolhado 20x20 Branco 2 Dobras - c/ 1.000un,12/07/2023,Marmikok,"5,000","R$ 14,80"
Pote 200ml Descartável - c/ 50un,12/07/2023,Marmikok,"4,000","R$ 6,10"
Morango Bandeja - c/ 250gr,18/07/2023,Mufatto,"1,000","R$ 5,99"
Ki-Cascão Conny - c/ 120un,22/07/2023,Marmikok,2,"R$ 44,80"
Leite UHT Integral - 1kg,22/07/2023,Condor,"48,000","R$ 3,88"
Morango Bandeja - c/ 250gr,30/07/2023,Muffato,"1,000","R$ 5,99"
Leite UHT Integral - 1kg,31/07/2023,Condor,"36,000","R$ 3,89"
Leite UHT Integral - 1kg,31/07/2023,Condor,"12,000","R$ 3,89"
Banana,31/07/2023,Condor,"7,000","R$ 3,99"
Morango Bandeja - c/ 250gr,01/08/2023,Muffato,"2,000","R$ 4,97"
"Cacau em pó 50% - 500gr (NESTLÉ) ""mocha""",02/08/2023,Lacto Minas,"2,000","R$ 32,75"
Ki-Cascão Conny - c/ 120un,02/08/2023,Abilio,"2,000","R$ 44,80"
Pázinha Curta Branca - c/ 500un,02/08/2023,Abilio,"4,000","R$ 18,50"
Água Crystal Com Gás - Garrafa - (500ml),03/08/2023,Spal ,"48,000","R$ 1,30"
Coca Cola - Lata - (350ml),05/08/2023,Muffato,"34,000","R$ 3,49"
Canudo Biodegradável - c/ 100un,07/08/2023,Lacto Minas,2,"R$ 7,90"
Leite UHT Integral - 1kg,07/08/2023,Condor,"12,000","R$ 4,25"
Leite UHT Integral - 1kg,07/08/2023,Condor,"12,000","R$ 4,25"
Leite UHT Integral - 1kg,07/08/2023,Condor,"12,000","R$ 4,25"
Leite UHT Integral - 1kg,07/08/2023,Condor,"12,000","R$ 4,25"
Mini Óreo - 35gr,08/08/2023,Mercadoce,"5,000","R$ 3,75"
Leite Condensado - 395gr,09/08/2023,Muffato,"1,000","R$ 6,99"
Leite UHT Integral - 1kg,11/08/2023,Frubana,"24,000","R$ 4,29"
Morango Bandeja - c/ 250gr,12/08/2023,Armazém Municipal,"3,000","R$ 6,40"
Caixa Kraft p/ Porção Grande - c/ 25un,14/08/2023,Comercial Barbante,"0,800","R$ 13,75"
Saco Kraft Delivery Liso SOS 15kg - c/ 100un,14/08/2023,Comercial Barbante,"1,000","R$ 58,50"
Morango Bandeja - c/ 250gr,15/08/2023,Muffato,"1,000","R$ 19,98"
Banana,15/08/2023,Muffato,"0,445","R$ 7,49"
Leite UHT Integral - 1kg,18/08/2023,Condor,"12,000","R$ 4,29"
Doce de Leite - 350gr,18/08/2023,Condor,"2,000","R$ 8,98"
Leite UHT Integral - 1kg,18/08/2023,Condor,"12,000","R$ 4,29"
Leite UHT Integral - 1kg,18/08/2023,Frubana,"144,000","R$ 4,29"
Leite UHT Integral - 1kg,18/08/2023,Condor,"12,000","R$ 4,29"
Saco de Lixo 20 Litros Preto Micra 4 - c/ 100un,21/08/2023,Super Brilho,"3,000","R$ 7,89"
Saco de Lixo 40 Litros Preto Micra 4 - c/ 100un,21/08/2023,Super Brilho,"2,000","R$ 12,87"
Álcool Líquido 70% - 5 Litros,21/08/2023,Super Brilho,"2,000","R$ 29,17"
Pano Multiuso - 28cm x 25mt,21/08/2023,Super Brilho,"2,000","R$ 12,38"
Saco de Lixo 60 Litros Preto Micra 8 - c/ 100un,21/08/2023,Super Brilho,"1,000","R$ 18,81"
Saco de Lixo 60 Litros Preto Micra 8 - c/ 100un,21/08/2023,Super Brilho,"3,000","R$ 15,83"
Detergente Neutro - 5 Litros,21/08/2023,Marmikok,"4,000","R$ 16,50"
Ki-Cascão Conny - c/ 120un,21/08/2023,Marmikok,"6,000","R$ 44,80"
Ki-Casquinha Conny - c/ 240un,21/08/2023,Marmikok,"2,000","R$ 63,00"
Papel Interfolhado 20x20 Branco 2 Dobras - c/ 1.000un,21/08/2023,Marmikok,"5,000","R$ 14,80"
Pázinha Curta Branca - c/ 500un,21/08/2023,Marmikok,"10,000","R$ 18,50"
Coca Cola - Lata - (350ml),22/08/2023,Spal ,"12,000","R$ 2,56"
Sanduíche de Parma - 1un,24/08/2023,Cassinelli,"6,000","R$ 10,00"
Sanduíche de Carne - 1un,24/08/2023,Cassinelli,"6,000","R$ 9,50"
Sanduíche de Mortadela - 1un,24/08/2023,Cassinelli,"6,000","R$ 7,50"
Sanduíche de Frango - 1un,24/08/2023,Cassinelli,"6,000","R$ 8,50"
Sanduíche de Pernil - 1un,24/08/2023,Cassinelli,"6,000","R$ 8,50"
