Descrição,Data,Qntd,"Unidade Origem
(Saída)","Unidade Destino
(Entrada)"
Pote Kraft 80ml - c/ 50un,02/01/2026,1 ,Estoque - MH,Unidade - Ahú
Waffle,02/01/2026,10 ,Fábrica,Unidade - Ahú
Waffle,02/01/2026,10 ,Fábrica,Unidade - Alto da XV
Morango Bandeja - c/ 250gr,02/01/2026,1 ,Compras,Unidade - Ahú
Banana,02/01/2026,2 ,Compras,Unidade - Ahú
Pote Kraft 80ml - c/ 50un,03/01/2026,4 ,Estoque - MH,Unidade - Ahú
Ki-Cascão Conny - c/ 120un,03/01/2026,2 ,Estoque - MH,Unidade - Ahú
Ki-Casquinha Conny - c/ 240un,03/01/2026,1 ,Estoque - MH,Unidade - Ahú
Pázinha Curta Branca - c/ 500un,03/01/2026,1 ,Estoque - MH,Unidade - Ahú
Leite UHT Integral - 1kg,03/01/2026,4 ,Unidade - Alto da XV,Unidade - Ahú
Ki-Cascão Conny - c/ 120un,03/01/2026,1 ,Estoque - MH,Unidade - Alto da XV
Ki-Casquinha Conny - c/ 240un,03/01/2026,1 ,Estoque - MH,Unidade - Alto da XV
Pote Kraft 480ml - c/ 50un,03/01/2026,1 ,Estoque - MH,Unidade - Alto da XV
Tampa p/ Pote Kraft 480ml - c/ 50un,03/01/2026,1 ,Estoque - MH,Unidade - Alto da XV
Copo 300ml Descartável - c/ 100un,03/01/2026,1 ,Estoque - MH,Unidade - Alto da XV
Água Crystal - Garrafa - (500ml),03/01/2026,12 ,Compras,Unidade - Alto da XV
Coca Cola Sem Açucar - Lata - (350ml),03/01/2026,6 ,Compras,Unidade - Alto da XV
Água Crystal - Garrafa - (500ml),03/01/2026,24 ,Compras,Unidade - Ahú
Coca Cola Sem Açucar - Lata - (350ml),03/01/2026,6 ,Compras,Unidade - Ahú
Waffle,03/01/2026,8 ,Fábrica,Unidade - Ahú
Morango Bandeja - c/ 250gr,03/01/2026,1 ,Compras,Unidade - Ahú
Morango Bandeja - c/ 250gr,03/01/2026,1 ,Compras,Unidade - Alto da XV
Banana,03/01/2026,2 ,Compras,Unidade - Alto da XV
Água Crystal Com Gás - Garrafa - (500ml),04/01/2026,12 ,Compras,Unidade - Alto da XV
Pote Kraft 80ml - c/ 50un,04/01/2026,100 ,Estoque - MH,Unidade - Alto da XV
Quiche Capresse - 1un,05/01/2026,6 ,Compras,Unidade - Ahú
Sanduíche de Carne - 1un,05/01/2026,12 ,Compras,Unidade - Ahú
Sanduíche de Frango - 1un,05/01/2026,12 ,Compras,Unidade - Ahú
Sanduíche de Pernil - 1un,05/01/2026,12 ,Compras,Unidade - Ahú
Sanduíche de Parma - 1un,05/01/2026,12 ,Compras,Unidade - Ahú
Sanduíche de Mortadela - 1un,05/01/2026,12 ,Compras,Unidade - Ahú
Quiche de Alho Poró - 1un,05/01/2026,6 ,Compras,Unidade - Ahú
Coca Cola - Lata - (350ml),05/01/2026,12 ,Compras,Unidade - Ahú
Coca Cola Sem Açucar - Lata - (350ml),05/01/2026,6 ,Compras,Unidade - Ahú
Pote Kraft 80ml - c/ 50un,06/01/2026,4 ,Estoque - MH,Unidade - Ahú
Pote Kraft 120ml - c/ 50un,06/01/2026,2 ,Estoque - MH,Unidade - Ahú
Pázinha Curta Branca - c/ 500un,06/01/2026,3 ,Estoque - MH,Unidade - Ahú
Ki-Cascão Conny - c/ 120un,06/01/2026,2 ,Estoque - MH,Unidade - Ahú
Ki-Casquinha Conny - c/ 240un,06/01/2026,1 ,Estoque - MH,Unidade - Ahú
Guardanapo 20x20 - c/ 100un,06/01/2026,4 ,Estoque - MH,Unidade - Ahú
Pote 200ml Descartável - c/ 50un,06/01/2026,2 ,Estoque - MH,Unidade - Ahú
Copo 300ml Descartável - c/ 100un,06/01/2026,1 ,Estoque - MH,Unidade - Ahú
Nutella Pote - 650gr,06/01/2026,2 ,Estoque - MH,Unidade - Ahú
