Descrição,Fornecedor,Data,Valor,Centro de Custo,Conta
Saldo Inicial da Conta,,01/01/2026,"R$2.351,91 ",Saldo Inicial,Loja Ahu - Itaú - 98608-0
Saldo Inicial da Conta,,01/01/2026,"R$1.033,99 ",Saldo Inicial,Loja Alto XV - Itaú - 98554-6
Saldo Inicial da Conta,,01/01/2026,"R$0,00 ",Saldo Inicial,Loja Batel - Itaú - 98553-8
Saldo Inicial da Conta,,01/01/2026,"R$0,06 ",Saldo Inicial,Fábrica - Itaú - 98670-0
Saldo Inicial da Conta,,01/01/2026,"R$197,88 ",Saldo Inicial,Compras - Inter - 23631657-5
Saldo Inicial da Conta,,01/01/2026,"R$2.208,12 ",Saldo Inicial,Poupança - Sicredi - 35220-1
Saldo Inicial da Conta,,01/01/2026,"R$15.577,11 ",Saldo Inicial,Compras - Sicredi - 35220-1
Saldo Inicial da Conta,,01/01/2026,"R$4.600,00 ",Saldo Inicial,Caixa Dinheiro
Saldo Inicial da Conta,,01/01/2026,"R$636,44 ",Saldo Inicial,Contas Stone -  - 
vendas pix,,02/01/2026,"R$166,80 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
compra mesa plasticas para loja,,02/01/2026,"-R$162,81",Equipamentos,Compras - Inter - 23631657-5
compra mesa plasticas para loja,,02/01/2026,"-R$162,81",Equipamentos,Compras - Inter - 23631657-5
Transferencia entre contas,,02/01/2026,"R$1.500,00 ",Transf. Entre Contas,Compras - Inter - 23631657-5
compra mesa plasticas para loja,,02/01/2026,"-R$162,81",Equipamentos,Compras - Inter - 23631657-5
Vendas pix,,02/01/2026,"R$48,00 ",Vendas Loja - Pix,Loja Alto XV - Itaú - 98554-6
Transferência entre contas,,02/01/2026,"-R$1.500,00",Transf. Entre Contas,Compras - Sicredi - 35220-1
troco p/ loja,,02/01/2026,"-R$450,00",Transf. Entre Contas,Caixa Dinheiro
Morango e Banana,Jullye Frutas,02/01/2026,"-R$6,91",Loja,Caixa Dinheiro
compra de produtos para teste,Festval,03/01/2026,"-R$72,88",Desenvolvimento Novos Produtos,Compras - Inter - 23631657-5
Compra de pastel para Batel,Pastel tia Elvira,03/01/2026,"-R$33,00",Desenvolvimento Novos Produtos,Compras - Inter - 23631657-5
vendas cartão,,05/01/2026,"R$7.029,94 ",Vendas Loja - Cartão,Loja Ahu - Itaú - 98608-0
vendas pix,,05/01/2026,"R$529,00 ",Vendas Loja - Pix,Loja Ahu - Itaú - 98608-0
compra parcelada de cameras de segurança,Mercado Pago,05/01/2026,"-R$550,82",Equipamentos,Compras - Inter - 23631657-5
Vendas cartão,,05/01/2026,"R$2.620,54 ",Vendas Loja - Cartão,Loja Alto XV - Itaú - 98554-6
