nome,nome_simples_unitario,tipo,fornecedor_padrao,quantidade_conversao,unidade_conversao,custo_considerado,custo_atualizado,ativo
Gelato - Kg,Gelato - Kg,Insumos,Fábrica,1,Kg,,,TRUE
Pote Kraft 80ml - c/ 50un,Pote Kraft 80ml,Insumos,Nazapack,50,Unidade,,,TRUE
Pote Kraft 120ml - c/ 50un,Pote Kraft 120ml,Insumos,Nazapack,50,Unidade,,,TRUE
Ki-Cascão Conny - c/ 120un,Cascão,Insumos,Marmikok,120,Unidade,,,TRUE
Ki-Casquinha Conny - c/ 240un,Casquinha,Insumos,Marmikok,240,Unidade,,,TRUE
Pote Kraft 480ml - c/ 50un,Pote Kraft 480ml,Insumos,FNS Cups,50,Unidade,,,FALSE
Pote Kraft 550ml - c/ 25un,Pote Kraft 550ml,Insumos,FNS Cups,25,Unidade,,,TRUE
Tampa p/ Pote Kraft 550ml - c/ 25un,Tampa p/ Pote Kraft 550ml,Insumos,FNS Cups,25,Unidade,,,TRUE
Tampa p/ Pote Kraft 480ml - c/ 50un,Tampa p/ Pote Kraft 480ml,Insumos,FNS Cups,50,Unidade,,,FALSE
Pázinha Curta Branca - c/ 500un,Pázinha Curta Branca,Insumos,Marmikok,500,Unidade,,,TRUE
Guardanapo 20x20 - c/ 100un,Guardanapo 20x20,Insumos,Marmikok,100,Unidade,,,TRUE
Pote 200ml Descartável - c/ 50un,,Insumos,Marmikok,50,Unidade,,,TRUE
Tampa p/ Pote 200ml - c/ 50un,,Insumos,Marmikok,50,Unidade,,,TRUE
Copo 300ml Descartável - c/ 100un,,Insumos,Marmikok,100,Unidade,,,TRUE
Copo Papel Preto Parede Simples 110ml - c/ 50un,Copo de Papel Preto Parede Simples 110ml,Insumos,Sete Embalagens,50,Unidade,,,TRUE
Copo Papel Preto Parede Dupla 270ml - c/ 25un,Copo de Papel Preto Parede Dupla 270ml,Insumos,Sete Embalagens,25,Unidade,,,TRUE
Embalagem Waffle Cama - c/ 50un,,Insumos,,50,Unidade,,,TRUE
Embalagem Waffle Luva - c/ 50un,,Insumos,,50,Unidade,,,TRUE
Sacola P - 26x25x12cm - c/ 20un,Sacola P - 26x25x12cm,Insumos,Nobelpack,20,Unidade,,,TRUE
Sacola PP - 25x21x10cm - c/ 20un,Sacola PP - 25x21x10cm,Insumos,Nobelpack,20,Unidade,,,TRUE
Café em Grão - 1kg,Café em Grão,Insumos,Astoria,1,Kg,,,TRUE
Cappuccino em Pó - 1kg,Cappuccino em Pó,Insumos,Astoria,1,Kg,,,TRUE
Chocolate Quente em Pó - 1kg,Chocolate Quente em Pó,Insumos,Net Coffe,1,Kg,,,TRUE
"Cacau em pó 50% - 500gr (NESTLÉ) ""mocha""",,Insumos,,"0,5",Kg,,,TRUE
