Ativo?,Nome Comercial,"Unidade Conversão 
[ Cálculo Custo ]","Unidade Conversão 
[ Cálculo Custo ]","Custo Considerado
[ Convertido p/ Un ]","Custo Atualizado
[ Convertido p/ Un ]",Nome Simples e Unitário,Tipo,Fornecedor Padrão
TRUE,Pistache Cru s/ Casca,1,Kg,,,Pistache S/ Casca,Matéria Prima,Pop House
TRUE,Pasta de Amendoim,1,Kg,,,Pasta de Amendoim,Matéria Prima,Pop House
TRUE,Filme PVC 30m x 28cm,1,Un,,,Filme PVC ,Insumos,Comercial Barbante e Papel
TRUE,Goiabada Cremosa 320g,"0,32",Kg,,,Goiabada Cremosa,Matéria Prima,Pop House
TRUE,Suco de Maracuja 500ml,"0,5",Kg,,,Suco de Maracujá Concentrado,Matéria Prima,Lacto Minas
TRUE,Açucar 5kg,5,Kg,,,Açúcar Refinado (Sacarose),Matéria Prima,Condor
TRUE,Manteiga s/ Sal 200g Tablet,"0,2",Kg,,,Manteiga s/ Sal,Matéria Prima,Condor
TRUE,Hortelã ,1,Mc,,,Hortelâ,Matéria Prima,Cia da Verdura
TRUE,Algemix Baunilha Branca - 1kg,1,Kg,,,Baunilha em Pó,Matéria Prima,Marmikok
TRUE,Algemix Iorgurte - 1kg,1,Kg,,,Iorgurte em Pó,Matéria Prima,Marmikok
TRUE,Algemix Leitinho Premium - 1kg,1,Kg,,,Leitinho Premium,Matéria Prima,Marmikok
TRUE,Emustab - 1kg,1,Kg,,,Emustab,Matéria Prima,Marmikok
TRUE,Glucose em Pó - 25kg,25,Kg,,,Glucose em Pó,Matéria Prima,Marmikok
TRUE,Super Liga Neutra,1,Kg,,,Liga Neutra,Matéria Prima,Marmikok
TRUE,Polpa de Maracuja 500ml,"0,5",Kg,,,Maracujá Polpa,Matéria Prima,Jullye Frutas
TRUE,Pote Redondo com Lacre 1000ml - c/10un,1,Un,,,Pote Redondo com Lacre 1000ml,Insumos,Comercial Barbante e Papel
TRUE,Farinha de Trigo 1Kg,1,Kg,,,Farinha de Trigo,Matéria Prima,Condor
TRUE,"Fermento Bio Seco 125g ""Fleischhmann""","0,125",Kg,,,Fermento Bio Seco,Matéria Prima,Condor
TRUE,Manteiga s/ Sal 200g Pote,"0,2",Kg,,,Manteiga s/ Sal,Matéria Prima,Condor
TRUE,"Morango Congelado - 1,02kg","1,02",Kg,,,Morango Congelado,Matéria Prima,De Marchi
TRUE,"Amora Congelada - 1,02kg","1,02",Kg,,,Amora Congelada,Matéria Prima,De Marchi
TRUE,"Framboesa Congelada - 1,02kg","1,02",Kg,,,Framboesa Congelada,Matéria Prima,De Marchi
TRUE,"Blueberries Congelado - 1,02kg","1,02",Kg,,,Mirtilo Congelado,Matéria Prima,De Marchi
TRUE,Manga Congelada - 100g,"0,1",Kg,,,Manga Congelada,Matéria Prima,De Marchi
TRUE,"Delipaste de Framboesa - 1,5kg","1,5",Kg,,,Delipaste Framboesa,Matéria Prima,SLM
TRUE,Nozes Macadâmia,1,Kg,,,Macadâmia,Matéria Prima,Pop House
TRUE,Variegato Amarena - 2kg,2,Kg,,,Variegato de Amarena,Matéria Prima,Marmikok
TRUE,"Doce de Leite - 4,5kg","4,5",Kg,,,Doce de Leite - Balde,Matéria Prima,Marmikok
TRUE,Ovo Médio/Grande,1,Un,,,Ovo Médio/Grande,Matéria Prima,Condor
TRUE,Pasta Concentrada de Pistache - 160gr,"0,16",Kg,,,Pasta de Pistache,Matéria Prima,A Casa do Confeiteiro
TRUE,Açúcar Mascavo - 1kg,1,Kg,,,Açúcar Mascavo,Matéria Prima,Pop House
TRUE,Castanha do Pará Quebrada,1,Kg,,,Castanha do Pará Quebrada,Matéria Prima,Pop House
TRUE,Leite Integral em Pó - 400gr,"0,4",Kg,,,Leite Integral em Pó,Matéria Prima,Sendas
TRUE,Polpa de Abacaxi ,1,Kg,,,Abacaxi Congelado,Matéria Prima,Cia da Verdura
TRUE,"Nata Balde - 3,5kg","3,5",Kg,,,Nata 45%,Matéria Prima,Fabrilac
TRUE,Cacau em Pó 100% - 500gr,"0,5",Kg,,,Cacau em Pó 100%,Matéria Prima,Feito Chocolate
